Lemma,POS,# Occurrences
、,Auxiliary Symbol,21112
…,Auxiliary Symbol,15796
の,Particle,11967
。,Auxiliary Symbol,11777
だ,Auxiliary Verb,11698
た,Auxiliary Verb,8324
て,Particle,7353
に,Particle,6246
は,Particle,6049
！,Auxiliary Symbol,5811
か,Particle,4994
？,Auxiliary Symbol,4855
が,Particle,4839
為る,Verb,4193
と,Particle,4099
も,Particle,3995
で,Particle,3793
を,Particle,3320
よ,Particle,3127
ない,Auxiliary Verb,2938
てる,Auxiliary Verb,2894
って,Particle,2625
ね,Particle,2572
から,Particle,2394
な,Particle,2378
です,Auxiliary Verb,2240
何,Pronoun,2021
無い,い-Adjective,2007
居る,Verb,1993
事,Noun,1986
言う,Verb,1737
“,Auxiliary Symbol,1459
”,Auxiliary Symbol,1459
良い,い-Adjective,1343
御,Prefix,1311
そう,Adverb,1293
けれど,Particle,1237
ます,Auxiliary Verb,1227
来る,Verb,1179
,Noun,1178
成る,Verb,1070
其れ,Pronoun,1025
有る,Verb,968
見る,Verb,951
れる,Auxiliary Verb,926
行く,Verb,881
俺,Pronoun,872
私-代名詞,Pronoun,863
様,な-Adjective,808
さん,Suffix,795
思う,Verb,721
分かる,Verb,692
人,Noun,692
し,Particle,687
さ,Particle,681
どう,Adverb,645
遣る,Verb,643
此の,Adnominal,641
御前,Pronoun,636
もう,Adverb,629
ナナコ,Noun,586
気,Noun,585
此れ,Pronoun,583
ちゃん,Suffix,566
先輩,Noun,557
ず,Auxiliary Verb,551
そう-様態,な-Adjective,550
呉れる,Verb,495
今日,Noun,492
だけ,Particle,489
たい,Auxiliary Verb,486
あっ,Interjection,481
クマ,Noun,476
彼の,Adnominal,473
今,Noun,470
僕,Pronoun,470
ちゃう,Auxiliary Verb,468
此処,Pronoun,461
其の,Adnominal,461
等,Suffix,454
熊,Noun,453
上,Noun,452
ー,Auxiliary Symbol,449
貴方,Pronoun,444
そんな,Adnominal,439
ぁ,Auxiliary Symbol,437
まで,Particle,432
返る,Verb,426
っ,Auxiliary Symbol,421
一寸,Adverb,414
ば,Particle,413
本当,Noun,405
ナル,Noun,403
わ,Particle,393
皆,Noun,388
後,Noun,383
自分,Noun,379
物,Suffix,379
出来る,Verb,373
聞く,Verb,370
ああ,Interjection,367
や,Auxiliary Verb,366
達,Suffix,361
出る,Verb,356
ユキコ,Noun,354
君,Suffix,346
時,Noun,338
家,Noun,338
えっ,Interjection,335
所,Noun,334
知る,Verb,334
誰,Pronoun,331
私,Pronoun,329
られる,Auxiliary Verb,326
話,Noun,315
又,Conjunction,314
まあ,Adverb,311
こんな,Adnominal,299
なんて,Particle,297
～,Auxiliary Symbol,288
みたい,な-Adjective,288
子,Noun,280
テレビ-television,Noun,275
ぜ,Particle,272
前,Noun,271
一緒,Noun,271
つう,Auxiliary Verb,268
＞,Auxiliary Symbol,268
奴,Noun,266
方,Noun,261
事件,Noun,258
中,Noun,256
先生,Noun,255
訳,Noun,253
せる,Auxiliary Verb,247
目,Noun,243
利する,Verb,241
霧,Noun,240
未だ,Adverb,240
何時,Pronoun,239
矢張り,Adverb,238
＜,Auxiliary Symbol,238
直,な-Adjective,237
日,Noun,230
何処,Pronoun,227
ぞ,Particle,225
斗,Noun,225
少し,Adverb,223
一人,Noun,223
笑う,Verb,223
じゃん,Particle,220
一,Noun,217
有り難う,Interjection,216
待つ,Verb,211
考える,Verb,209
話す,Verb,209
へ,Particle,208
犯人,Noun,208
うう,Interjection,207
悪い,い-Adjective,204
凄い,い-Adjective,200
為,Noun,200
御免,Noun,199
ヨウスケ,Noun,198
カンジ,Noun,197
うん,Interjection,196
貰う,Verb,194
入れる,Verb,192
入る,Verb,191
違う,Verb,186
顔,Noun,186
ドウジマ,Noun,183
間,Noun,182
彼奴,Pronoun,179
力,Noun,178
者,Suffix,177
好き,な-Adjective,173
より,Particle,172
世界,Noun,170
こう,Adverb,167
学校,Noun,167
為さる,Verb,166
確か,Adverb,165
良く,Adverb,163
感ずる,Verb,162
出す,Verb,162
作る,Verb,161
頑張る,Verb,161
嬉しい,い-Adjective,160
君-代名詞,Pronoun,159
父,Noun,159
同じ,な-Adjective,155
駄目,Noun,154
んー,Interjection,153
此方,Pronoun,152
町,Noun,151
戻る,Verb,150
止める,Verb,150
チエ,Noun,150
しか,Particle,150
意味,Noun,150
持つ,Verb,149
ふふ,Interjection,148
内,Noun,148
アマギ,Noun,148
えーと,Interjection,148
時間,Noun,147
嫌,な-Adjective,147
手,Noun,145
らしい,Auxiliary Verb,145
部,Noun,145
はい,Interjection,144
警察,Noun,144
ずっと,Adverb,144
直ぐ,Adverb,143
楽しい,い-Adjective,142
会う,Verb,141
見える,Verb,140
ほら,Interjection,139
おっ,Interjection,138
関係,Noun,138
欲しい,い-Adjective,138
済む,Verb,137
過ごす,Verb,137
急度,Adverb,136
置く,Verb,135
否,Interjection,135
大丈夫,な-Adjective,135
下さる,Verb,135
明日,Noun,134
はあ,Interjection,134
馬鹿,Noun,134
はは,Interjection,133
たり,Particle,133
二人,Noun,132
男,Noun,131
知れる,Verb,129
早い,い-Adjective,129
い,Particle,127
イチジョウ,Noun,127
買う,Verb,126
生,Suffix,125
ナマタメ,Noun,125
度,Noun,125
彼れ,Pronoun,124
食べる,Verb,123
母,Noun,123
んっ,Interjection,122
／,Auxiliary Symbol,122
ナガセ,Noun,122
兄,Noun,121
映る,Verb,120
色々,Adverb,120
若し,Adverb,119
仕舞う,Verb,119
死ぬ,Verb,119
ちゃんと,Adverb,119
場所,Noun,118
忘れる,Verb,117
結実,Noun,117
もの,Particle,116
もっと,Adverb,116
優しい,い-Adjective,116
なんか,Particle,115
上げる,Verb,115
怖い,い-Adjective,114
別,Noun,114
終わる,Verb,114
おお,Interjection,113
放課,Noun,113
アヤネ,Noun,112
兎に角,Adverb,111
まじ,な-Adjective,110
全然,Adverb,110
雨,Noun,108
唯,Adverb,107
無理,Noun,107
てく,Auxiliary Verb,106
とく,Auxiliary Verb,105
心配,Noun,105
全く,Adverb,105
次,Noun,103
あれ,Interjection,103
あんな,な-Adjective,103
侭,Noun,103
くらい,Particle,102
付ける,Verb,102
じゃ,Auxiliary Verb,102
・,Auxiliary Symbol,102
今度,Noun,101
コニシ,Noun,100
気持ち,Noun,100
ええ,Interjection,99
さっき,Noun,99
子供,Noun,98
全部,Noun,97
ばかり,Particle,97
あはは,Interjection,97
変わる,Verb,96
筈,Noun,96
ハナムラ,Noun,96
殺す,Verb,96
掛ける,Verb,94
取る,Verb,93
旨い,い-Adjective,93
おい,Interjection,93
金,Noun,92
絶対,Noun,92
大事,な-Adjective,92
変,Noun,91
つ,Particle,90
年,Noun,89
声,Noun,89
アイ,Noun,89
通り,Noun,88
ユウ,Noun,88
心,Noun,88
け,Particle,87
あの,Interjection,87
恥ずかしい,い-Adjective,87
生きる,Verb,87
アダチ,Noun,86
他,Noun,86
秀,Noun,86
先,Noun,85
使う,Verb,85
ネス,Noun,85
たって,Particle,85
絆,Noun,85
実,Noun,84
仕事,Noun,83
二,Noun,83
最近,Noun,83
泣く,Verb,83
つく,Verb,81
頼む,Verb,81
ジュ-je,Noun,81
探す,Verb,81
部活,Noun,81
勉強,Noun,81
人間,Noun,80
シャドー-shadow,Noun,80
寂しい,い-Adjective,79
仲,Noun,79
ナオキ,Noun,79
御座る,Verb,78
遊ぶ,Verb,77
約束,Noun,77
こそ,Particle,76
其処,Pronoun,76
ぉ,Auxiliary Symbol,76
まさか,Adverb,75
過ぎる,Verb,75
可愛い,い-Adjective,74
助ける,Verb,74
結構,Adverb,74
逃げる,Verb,74
書く,Verb,74
一番,Adverb,73
覚える,Verb,73
教える,Verb,73
付き合う,Verb,73
部屋,Noun,72
女,Noun,72
信ずる,Verb,72
此奴,Pronoun,71
家族,Noun,71
先ず,Adverb,70
どんな,Adnominal,70
付く,Verb,70
旅館,Noun,70
ねえ,Interjection,70
感じ,Noun,70
仲間,Noun,70
所為,Noun,69
アナ-announcer,Noun,69
最初,Noun,69
頭,Noun,69
ちまう,Auxiliary Verb,68
問題,Noun,68
体,Noun,68
サトナカ,Noun,67
寝る,Verb,67
深まる,Verb,67
姉,Noun,66
強い,い-Adjective,66
願う,Verb,66
かしら,Particle,66
そして,Conjunction,65
高校,Noun,65
友達,Noun,65
急,Noun,65
噂,Noun,65
守る,Verb,65
言葉,Noun,65
辛い,い-Adjective,65
頃,Noun,64
全て,Noun,64
普通,Noun,64
嘘,Noun,64
以上,Noun,64
ペルソナ-persona,Noun,64
女子,Noun,63
千枝,Noun,63
呼ぶ,Verb,63
探偵,Noun,63
月,Noun,62
多い,い-Adjective,62
夜,Noun,62
余り,Adverb,62
見付かる,Verb,62
昨日,Noun,62
向こう,Noun,62
困る,Verb,62
救う,Verb,62
肉,Noun,62
食う,Verb,61
続く,Verb,61
仕方無い,い-Adjective,61
元気,Noun,61
決める,Verb,61
