Lemma,POS,P4 Occurrences,P5 Occurrences
、,Auxiliary Symbol,21112,18907
…,Auxiliary Symbol,15796,12819
の,Particle,11967,19032
。,Auxiliary Symbol,11777,15820
だ,Auxiliary Verb,11698,18835
た,Auxiliary Verb,8324,8582
て,Particle,7353,10039
に,Particle,6246,10327
は,Particle,6049,10255
！,Auxiliary Symbol,5811,7868
か,Particle,4994,7563
？,Auxiliary Symbol,4855,9524
が,Particle,4839,8706
為る,Verb,4193,7660
と,Particle,4099,5034
も,Particle,3995,5728
で,Particle,3793,5749
を,Particle,3320,7137
よ,Particle,3127,4488
ない,Auxiliary Verb,2938,4538
てる,Auxiliary Verb,2894,3909
って,Particle,2625,2698
ね,Particle,2572,3697
から,Particle,2394,2987
な,Particle,2378,4821
です,Auxiliary Verb,2240,2363
何,Pronoun,2021,2329
無い,い-Adjective,2007,3317
居る,Verb,1993,2148
事,Noun,1986,2664
言う,Verb,1737,2146
“,Auxiliary Symbol,1459,24
”,Auxiliary Symbol,1459,0
良い,い-Adjective,1343,1935
御,Prefix,1311,2108
そう,Adverb,1293,1406
けれど,Particle,1237,1572
ます,Auxiliary Verb,1227,2763
来る,Verb,1179,1413
,Noun,1178,3779
成る,Verb,1070,1668
其れ,Pronoun,1025,1563
有る,Verb,968,2132
見る,Verb,951,1433
れる,Auxiliary Verb,926,1468
行く,Verb,881,1714
俺,Pronoun,872,1151
私-代名詞,Pronoun,863,848
様,な-Adjective,808,1433
さん,Suffix,795,328
思う,Verb,721,720
分かる,Verb,692,801
人,Noun,692,464
し,Particle,687,773
さ,Particle,681,766
どう,Adverb,645,1003
遣る,Verb,643,1276
此の,Adnominal,641,1214
御前,Pronoun,636,947
もう,Adverb,629,774
ナナコ,Noun,586,0
気,Noun,585,739
此れ,Pronoun,583,1171
ちゃん,Suffix,566,279
先輩,Noun,557,13
ず,Auxiliary Verb,551,894
そう-様態,な-Adjective,550,734
呉れる,Verb,495,877
今日,Noun,492,670
だけ,Particle,489,622
たい,Auxiliary Verb,486,944
あっ,Interjection,481,255
クマ,Noun,476,0
彼の,Adnominal,473,398
今,Noun,470,779
僕,Pronoun,470,200
ちゃう,Auxiliary Verb,468,306
此処,Pronoun,461,719
其の,Adnominal,461,781
等,Suffix,454,626
熊,Noun,453,1
上,Noun,452,168
ー,Auxiliary Symbol,449,379
貴方,Pronoun,444,828
そんな,Adnominal,439,533
ぁ,Auxiliary Symbol,437,199
まで,Particle,432,608
返る,Verb,426,224
っ,Auxiliary Symbol,421,527
一寸,Adverb,414,452
ば,Particle,413,1048
本当,Noun,405,312
ナル,Noun,403,1
わ,Particle,393,626
皆,Noun,388,320
後,Noun,383,424
自分,Noun,379,341
物,Suffix,379,768
出来る,Verb,373,846
聞く,Verb,370,517
ああ,Interjection,367,355
や,Auxiliary Verb,366,240
達,Suffix,361,451
出る,Verb,356,337
ユキコ,Noun,354,0
君,Suffix,346,102
時,Noun,338,382
家,Noun,338,138
えっ,Interjection,335,131
所,Noun,334,584
知る,Verb,334,383
誰,Pronoun,331,267
私,Pronoun,329,400
られる,Auxiliary Verb,326,526
話,Noun,315,603
又,Conjunction,314,458
まあ,Adverb,311,485
こんな,Adnominal,299,466
なんて,Particle,297,367
～,Auxiliary Symbol,288,497
みたい,な-Adjective,288,412
子,Noun,280,195
テレビ-television,Noun,275,78
ぜ,Particle,272,1111
前,Noun,271,404
一緒,Noun,271,241
つう,Auxiliary Verb,268,210
＞,Auxiliary Symbol,268,26
奴,Noun,266,658
方,Noun,261,628
事件,Noun,258,105
中,Noun,256,365
先生,Noun,255,66
訳,Noun,253,322
せる,Auxiliary Verb,247,546
目,Noun,243,275
利する,Verb,241,2
霧,Noun,240,1
未だ,Adverb,240,529
何時,Pronoun,239,270
矢張り,Adverb,238,263
＜,Auxiliary Symbol,238,1
直,な-Adjective,237,12
日,Noun,230,419
何処,Pronoun,227,351
ぞ,Particle,225,1372
斗,Noun,225,1
少し,Adverb,223,237
一人,Noun,223,105
笑う,Verb,223,27
じゃん,Particle,220,110
一,Noun,217,394
有り難う,Interjection,216,146
待つ,Verb,211,659
考える,Verb,209,324
話す,Verb,209,330
へ,Particle,208,380
犯人,Noun,208,53
うう,Interjection,207,73
悪い,い-Adjective,204,376
凄い,い-Adjective,200,241
為,Noun,200,272
御免,Noun,199,155
ヨウスケ,Noun,198,0
カンジ,Noun,197,0
うん,Interjection,196,96
貰う,Verb,194,371
入れる,Verb,192,226
入る,Verb,191,267
違う,Verb,186,150
顔,Noun,186,105
ドウジマ,Noun,183,0
間,Noun,182,112
彼奴,Pronoun,179,156
力,Noun,178,263
者,Suffix,177,374
好き,な-Adjective,173,99
より,Particle,172,297
世界,Noun,170,197
こう,Adverb,167,154
学校,Noun,167,161
為さる,Verb,166,171
確か,Adverb,165,196
良く,Adverb,163,175
感ずる,Verb,162,80
出す,Verb,162,314
作る,Verb,161,108
頑張る,Verb,161,168
嬉しい,い-Adjective,160,79
君-代名詞,Pronoun,159,633
父,Noun,159,209
同じ,な-Adjective,155,160
駄目,Noun,154,189
んー,Interjection,153,87
此方,Pronoun,152,255
町,Noun,151,24
戻る,Verb,150,119
止める,Verb,150,274
チエ,Noun,150,0
しか,Particle,150,287
意味,Noun,150,142
持つ,Verb,149,410
ふふ,Interjection,148,113
内,Noun,148,124
アマギ,Noun,148,1
えーと,Interjection,148,20
時間,Noun,147,377
嫌,な-Adjective,147,107
手,Noun,145,307
らしい,Auxiliary Verb,145,183
部,Noun,145,56
はい,Interjection,144,117
警察,Noun,144,148
ずっと,Adverb,144,47
直ぐ,Adverb,143,217
楽しい,い-Adjective,142,42
会う,Verb,141,219
見える,Verb,140,120
ほら,Interjection,139,66
おっ,Interjection,138,146
関係,Noun,138,250
欲しい,い-Adjective,138,315
済む,Verb,137,132
過ごす,Verb,137,71
急度,Adverb,136,182
置く,Verb,135,415
否,Interjection,135,253
大丈夫,な-Adjective,135,185
下さる,Verb,135,230
明日,Noun,134,398
はあ,Interjection,134,66
馬鹿,Noun,134,111
はは,Interjection,133,23
たり,Particle,133,106
二人,Noun,132,36
男,Noun,131,117
知れる,Verb,129,213
早い,い-Adjective,129,232
い,Particle,127,234
イチジョウ,Noun,127,0
買う,Verb,126,112
生,Suffix,125,80
ナマタメ,Noun,125,1
度,Noun,125,207
彼れ,Pronoun,124,155
食べる,Verb,123,87
