Lemma,POS,# of Occurrences
の,Particle,19032
、,Auxiliary Symbol,18907
だ,Auxiliary Verb,18835
。,Auxiliary Symbol,15820
…,Auxiliary Symbol,12819
に,Particle,10327
は,Particle,10255
て,Particle,10039
？,Auxiliary Symbol,9524
が,Particle,8706
た,Auxiliary Verb,8582
！,Auxiliary Symbol,7868
為る,Verb,7660
か,Particle,7563
を,Particle,7137
で,Particle,5749
も,Particle,5728
と,Particle,5034
な,Particle,4821
ない,Auxiliary Verb,4538
よ,Particle,4488
てる,Auxiliary Verb,3909
,Noun,3779
ね,Particle,3697
無い,い-Adjective,3317
から,Particle,2987
ます,Auxiliary Verb,2763
って,Particle,2698
事,Noun,2664
『,Auxiliary Symbol,2373
』,Auxiliary Symbol,2373
です,Auxiliary Verb,2363
何,Pronoun,2329
居る,Verb,2148
言う,Verb,2146
有る,Verb,2132
御,Prefix,2108
良い,い-Adjective,1935
行く,Verb,1714
成る,Verb,1668
けれど,Conjunction,1572
其れ,Pronoun,1563
れる,Auxiliary Verb,1468
見る,Verb,1433
様,Suffix,1433
来る,Verb,1413
そう,Adverb,1406
ぞ,Particle,1372
遣る,Verb,1276
此の,Adnominal,1214
此れ,Pronoun,1171
俺,Pronoun,1151
ぜ,Particle,1111
ば,Particle,1048
どう,Adverb,1003
御前,Pronoun,947
たい,Auxiliary Verb,944
ず,Auxiliary Verb,894
呉れる,Verb,877
私-代名詞,Pronoun,848
出来る,Verb,846
貴方,Pronoun,828
分かる,Verb,801
其の,Adnominal,781
今,Noun,779
もう,Adverb,774
し,Particle,773
物,Noun,768
さ,Particle,766
ホ,Code,750
気,Noun,739
そう-様態,な-Adjective,734
思う,Verb,720
此処,Pronoun,719
今日,Noun,670
待つ,Verb,659
奴,Suffix,658
君-代名詞,Pronoun,633
方,Noun,628
怪盗,Noun,627
等,Suffix,626
わ,Particle,626
だけ,Particle,622
まで,Particle,608
話,Noun,603
所,Noun,584
せる,Auxiliary Verb,546
そんな,Adnominal,533
未だ,Adverb,529
っ,Auxiliary Symbol,527
られる,Auxiliary Verb,526
聞く,Verb,517
～,Auxiliary Symbol,497
まあ,Adverb,485
こんな,Adnominal,466
人,Noun,464
又,Conjunction,458
一寸,Adverb,452
達,Suffix,451
人間,Noun,450
団,Suffix,431
