Word,Lemma,POS,# Occurrences
、,、,Auxiliary Symbol,18907
。,。,Auxiliary Symbol,15821
の,の,Particle,15487
…,…,Auxiliary Symbol,12819
に,に,Particle,11980
て,てる,Auxiliary Verb,11028
は,は,Particle,10261
?,？,Auxiliary Symbol,9524
だ,だ,Auxiliary Verb,9140
が,が,Particle,8700
!,！,Auxiliary Symbol,7868
か,か,Particle,7428
な,な,Particle,7371
た,た,Auxiliary Verb,7188
を,を,Particle,7104
で,で,Particle,6202
も,も,Particle,5682
し,為る,Verb,5395
ない,ない,Auxiliary Verb,5390
と,と,Particle,4999
よ,よ,Particle,4346
ん,の,Particle,4219
ね,ね,Particle,3227
から,から,Particle,2933
って,って,Particle,2601
『,『,Auxiliary Symbol,2373
』,』,Auxiliary Symbol,2373
そう,そう-様態,な-Adjective,2010
てる,てる,Auxiliary Verb,1902
こと,事,Noun,1881
じゃ,だ,Auxiliary Verb,1855
です,です,Auxiliary Verb,1705
する,為る,Verb,1606
お,御,Prefix,1591
ます,ます,Auxiliary Verb,1558
けど,けれど,Conjunction,1556
いい,良い,い-Adjective,1446
それ,其れ,Pronoun,1438
さ,さ,Particle,1389
ある,有る,Verb,1305
ぞ,ぞ,Particle,1297
何,何,Pronoun,1189
この,此の,Adnominal,1182
なら,だ,Auxiliary Verb,1145
い,居る,Verb,1105
ぜ,ぜ,Particle,1097
たら,た,Auxiliary Verb,1063
ば,ば,Particle,1049
れ,れる,Auxiliary Verb,1045
いる,居る,Verb,1033
なん,何,Pronoun,991
どう,どう,Adverb,948
これ,此れ,Pronoun,935
私,私-代名詞,Pronoun,847
ホ,ホ,Code,773
もう,もう,Adverb,763
だろ,だ,Auxiliary Verb,753
その,其の,Adnominal,736
今,今,Noun,731
ねー,無い,い-Adjective,731
たい,たい,Auxiliary Verb,727
事,事,Noun,715
俺,俺,Pronoun,706
気,気,Noun,688
ここ,此処,Pronoun,680
よう,様,な-Adjective,663
今日,今日,Noun,661
様,様,Suffix,654
ねえ,ない,Auxiliary Verb,652
いう,言う,Verb,646
くれ,呉れる,Verb,645
怪盗,怪盗,Noun,627
わ,わ,Particle,622
だけ,だけ,Particle,621
来,来る,Verb,605
だっ,だ,Auxiliary Verb,605
まで,まで,Particle,601
なっ,成る,Verb,595
なる,成る,Verb,593
ら,等,Suffix,592
話,話,Noun,590
見,見る,Verb,580
方,方,Noun,569
行く,行く,Verb,553
だろう,だ,Auxiliary Verb,541
～,～,Auxiliary Symbol,518
あの,あの,Interjection,513
言っ,言う,Verb,510
君,君-代名詞,Pronoun,491
オマエ,御前,Pronoun,489
そんな,そんな,Adnominal,484
やる,遣る,Verb,459
また,又,Conjunction,457
こんな,こんな,Adnominal,453
まだ,未だ,Adverb,453
人,人,Noun,451
オレ,俺,Pronoun,448
お前,御前,Pronoun,442
じゃあ,で,Conjunction,441
っ,っ,Auxiliary Symbol,437
やっ,遣る,Verb,431
団,団,Suffix,431
なく,ない,Auxiliary Verb,430
せ,せる,Auxiliary Verb,428
日,日,Noun,411
人間,人間,Noun,410
まし,ます,Auxiliary Verb,407
でき,出来る,Verb,406
ましょう,ます,Auxiliary Verb,406
あ,あっ,Interjection,403
ちょっと,一寸,Adverb,397
明日,明日,Noun,395
みたい,みたい,な-Adjective,393
前,前,Noun,390
へ,へ,Particle,382
たち,達,Suffix,380
ー,ー,Auxiliary Symbol,379
者,者,Suffix,375
待っ,待つ,Verb,375
時間,時間,Noun,372
あっ,有る,Verb,371
ねぇ,無い,い-Adjective,367
なんて,なんて,Particle,366
ませ,ます,Auxiliary Verb,365
ヤツ,奴,Noun,362
き,来る,Verb,359
あり,有る,Verb,359
中,中,Suffix,354
貴方,貴方,Pronoun,351
れる,れる,Auxiliary Verb,345
自分,自分,Noun,338
オ,御,Prefix,338
られ,られる,Auxiliary Verb,333
ジョーカー,ジョーカー-joker,Noun,332
一,一,Noun,331
なり,成る,Verb,328
場所,場所,Noun,311
パレス,パレス-palace,Noun,304
さん,さん,Suffix,301
思う,思う,Verb,295
より,より,Particle,295
行っ,行く,Verb,293
持っ,持つ,Verb,291
手,手,Noun,287
しよう,為る,Verb,285
しか,しか,Particle,283
考え,考え,Noun,283
もん,物,Noun,281
時,時,Noun,280
1,,Noun,277
言う,言う,Verb,276
もの,物,Noun,272
他,他,Noun,272
どこ,何処,Pronoun,270
み,見る,Verb,270
いや,否,Interjection,265
力,力,Noun,263
アンタ,貴方,Pronoun,263
思っ,思う,Verb,260
情報,情報,Noun,259
いつ,何時,Pronoun,259
(,（,Auxiliary Symbol,258
),）,Auxiliary Symbol,256
目,目,Noun,253
や,や,Particle,252
先,先,Noun,249
誰,誰,Pronoun,249
みんな,皆,Noun,245
関係,関係,Noun,245
聞い,聞く,Verb,245
あれ,あれ,Interjection,243
言わ,言う,Verb,242
ご,御,Prefix,242
出,出る,Verb,241
まあ,まあ,Adverb,241
所,所,Noun,240
店,店,Noun,240
的,的,Suffix,238
相手,相手,Noun,238
改心,改心,Noun,237
無い,無い,い-Adjective,235
少し,少し,Adverb,233
一緒,一緒,Noun,233
でしょ,です,Auxiliary Verb,233
ああ,ああ,Interjection,229
なかっ,無い,い-Adjective,227
予告,予告,Noun,227
ワガハイ,我が輩,Pronoun,225
金,金,Noun,224
わけ,訳,Noun,224
おい,置く,Verb,223
後,後,Noun,221
キミ,君-代名詞,Pronoun,221
でしょう,です,Auxiliary Verb,219
みよう,見る,Verb,216
シャドウ,シャドウ,Noun,212
できる,出来る,Verb,212
