Word,Lemma,POS,P4 Occurrences,P5 Occurrences
、,、,Auxiliary Symbol,21112,18907
。,。,Auxiliary Symbol,11778,15821
の,の,Particle,9287,15487
…,…,Auxiliary Symbol,15796,12819
に,に,Particle,7599,11980
て,て,Particle,8435,11028
は,は,Particle,6062,10261
?,？,Auxiliary Symbol,0,9524
だ,だ,Auxiliary Verb,5632,9140
が,が,Particle,4837,8700
!,！,Auxiliary Symbol,1,7868
か,か,Particle,4951,7428
な,な,Particle,3861,7371
た,た,Auxiliary Verb,7447,7188
を,を,Particle,3320,7104
で,で,Particle,4276,6202
も,も,Particle,3977,5682
し,為る,Verb,3680,5395
ない,ない,Auxiliary Verb,3034,5390
と,と,Particle,4075,4999
よ,よ,Particle,2920,4346
ん,ず,Auxiliary Verb,3229,4219
ね,ず,Auxiliary Verb,2274,3227
から,から,Particle,2362,2933
って,って,Particle,2484,2601
『,『,Auxiliary Symbol,1,2373
』,』,Auxiliary Symbol,1,2373
そう,そう,Adverb,1524,2010
てる,てる,Auxiliary Verb,1186,1902
こと,事,Noun,1171,1881
じゃ,で,Conjunction,1246,1855
です,です,Auxiliary Verb,1146,1705
する,為る,Verb,634,1606
お,御,Prefix,1307,1591
ます,ます,Auxiliary Verb,574,1558
けど,けれど,Particle,1213,1556
いい,良い,い-Adjective,962,1446
それ,其れ,Pronoun,945,1438
さ,為る,Verb,841,1389
ある,有る,Verb,575,1305
ぞ,ぞ,Particle,192,1297
何,何,Pronoun,1257,1189
この,此の,Adnominal,637,1182
なら,成る,Verb,470,1145
い,居る,Verb,697,1105
ぜ,ぜ,Particle,259,1097
たら,た,Auxiliary Verb,603,1063
ば,ば,Particle,413,1049
れ,れる,Auxiliary Verb,727,1045
いる,居る,Verb,1219,1033
なん,何,Pronoun,649,991
どう,どう,Adverb,567,948
これ,此れ,Pronoun,520,935
私,私-代名詞,Pronoun,863,847
ホ,ホ,Noun,2,773
もう,もう,Adverb,590,763
だろ,だ,Auxiliary Verb,418,753
その,其の,Adnominal,471,736
今,今,Noun,455,731
ねー,ね,Particle,409,731
たい,たい,Auxiliary Verb,333,727
事,事,Noun,804,715
俺,俺,Pronoun,556,706
気,気,Noun,513,688
ここ,此処,Pronoun,406,680
よう,様,な-Adjective,707,663
今日,今日,Noun,484,661
様,様,Suffix,99,654
ねえ,ない,Auxiliary Verb,337,652
いう,言う,Verb,508,646
くれ,呉れる,Verb,360,645
怪盗,怪盗,Noun,16,627
わ,わ,Particle,381,622
だけ,だけ,Particle,489,621
だっ,だ,Auxiliary Verb,475,605
来,来る,Verb,448,605
まで,まで,Particle,432,601
なっ,成る,Verb,600,595
なる,成る,Verb,274,593
ら,等,Suffix,441,592
話,話,Noun,312,590
見,見る,Verb,513,580
方,方,Noun,196,569
行く,行く,Verb,179,553
だろう,だ,Auxiliary Verb,195,541
～,～,Auxiliary Symbol,310,518
あの,彼の,Adnominal,549,513
言っ,言う,Verb,498,510
君,君-代名詞,Pronoun,141,491
オマエ,御前,Pronoun,8,489
そんな,そんな,Adnominal,374,484
やる,遣る,Verb,127,459
また,又,Conjunction,315,457
こんな,こんな,Adnominal,297,453
まだ,未だ,Adverb,230,453
人,人,Noun,679,451
オレ,俺,Pronoun,320,448
お前,御前,Pronoun,616,442
じゃあ,で,Conjunction,240,441
っ,っ,Auxiliary Symbol,319,437
やっ,遣る,Verb,359,431
団,団,Suffix,2,431
なく,ない,Auxiliary Verb,403,430
せ,せる,Auxiliary Verb,247,428
日,日,Noun,222,411
人間,人間,Noun,79,410
まし,ます,Auxiliary Verb,290,407
でき,出来る,Verb,154,406
ましょう,ます,Auxiliary Verb,92,406
あ,あっ,Interjection,727,403
ちょっと,一寸,Adverb,303,397
明日,明日,Noun,132,395
みたい,みたい,な-Adjective,273,393
前,前,Noun,263,390
へ,へ,Particle,212,382
たち,達,Suffix,328,380
ー,ー,Auxiliary Symbol,449,379
者,者,Suffix,177,375
待っ,待つ,Verb,119,375
時間,時間,Noun,147,372
あっ,有る,Verb,295,371
ねぇ,ね,Particle,143,367
なんて,なんて,Particle,294,366
ませ,ます,Auxiliary Verb,258,365
ヤツ,奴,Noun,129,362
き,来る,Verb,366,359
あり,有る,Verb,143,359
中,中,Noun,249,354
貴方,貴方,Pronoun,81,351
れる,れる,Auxiliary Verb,169,345
自分,自分,Noun,379,338
オ,御,Prefix,21,338
られ,られる,Auxiliary Verb,241,333
ジョーカー,ジョーカー-joker,Noun,0,332
ジョーカー-joker,Noun,0,332
一,一,Noun,179,331
なり,成る,Verb,109,328
場所,場所,Noun,118,311
パレス,パレス-palace,Noun,0,304
パレス-palace,Noun,0,304
さん,さん,Suffix,783,301
思う,思う,Verb,276,295
より,より,Particle,179,295
行っ,行く,Verb,242,293
持っ,持つ,Verb,90,291
手,手,Noun,133,287
しよう,為る,Verb,102,285
考え,考える,Verb,176,283
しか,しか,Particle,148,283
もん,もの,Particle,174,281
時,時,Noun,272,280
1,,Noun,0,277
言う,言う,Verb,236,276
もの,物,Noun,235,272
他,他,Noun,84,272
どこ,何処,Pronoun,137,270
み,見る,Verb,132,270
いや,否,Interjection,139,265
力,力,Noun,177,263
アンタ,貴方,Pronoun,133,263
思っ,思う,Verb,337,260
いつ,何時,Pronoun,226,259
情報,情報,Noun,37,259
(,（,Auxiliary Symbol,9,258
),）,Auxiliary Symbol,5,256
目,目,Noun,227,253
や,や,Auxiliary Verb,410,252
誰,誰,Pronoun,322,249
先,先,Noun,84,249
みんな,皆,Noun,298,245
聞い,聞く,Verb,208,245
関係,関係,Noun,135,245
あれ,彼れ,Pronoun,199,243
言わ,言う,Verb,148,242
ご,御,Prefix,111,242
双葉,Noun,0,242
出,出る,Verb,262,241
まあ,まあ,Adverb,142,241
店,店,Noun,47,240
所,所,Noun,46,240
的,的,Suffix,58,238
相手,相手,Noun,49,238
改心,改心,Noun,1,237
無い,無い,い-Adjective,338,235
一緒,一緒,Noun,251,233
でしょ,です,Auxiliary Verb,223,233
少し,少し,Adverb,222,233
ああ,ああ,Interjection,138,229
なかっ,ない,Auxiliary Verb,337,227
予告,予告,Noun,7,227
ワガハイ,我が輩,Pronoun,0,225
我が輩,Pronoun,0,225
わけ,訳,Noun,126,224
金,金,Noun,45,224
おい,おい,Interjection,101,223
後,後,Noun,298,221
キミ,君-代名詞,Pronoun,86,221
